//X Y Z R G B
-22.46737671 9.78436089 -2.45434499 170 0 0
-22.33662987 9.59624100 -2.50795293 170 0 0
-22.21314812 9.66172028 -2.51385593 170 0 0
-22.35020638 9.84589672 -2.47232008 170 0 0
-22.30051613 9.82886219 -2.47708392 170 0 0
-22.40609169 9.63390923 -2.46687508 170 0 0
-22.19619370 9.75781155 -2.49939203 170 0 0
-22.34073830 9.66763115 -2.48174691 170 0 0
-22.35968590 9.75296879 -2.46858501 170 0 0
-22.27668571 9.70975018 -2.49030805 170 0 0
-22.16322327 9.76346016 -2.50250006 170 0 0
-22.28020477 9.66606426 -2.50241590 170 0 0
-22.40176964 9.61990166 -2.47292590 170 0 0
-22.37911224 9.61005402 -2.48796511 170 0 0
-22.24491119 9.73729515 -2.48990607 170 0 0
-22.35035706 9.66573524 -2.47930098 170 0 0
-22.29559517 9.63575077 -2.50622392 170 0 0
-22.17134094 9.77267838 -2.50054193 170 0 0
-22.25763321 9.68250084 -2.50433111 170 0 0
-22.12345123 9.72549438 -2.50673389 170 0 0
-22.43848228 9.87132263 -2.46160007 170 0 0
-22.39164352 9.60189915 -2.48633909 170 0 0
-22.36499977 9.65318871 -2.47812390 170 0 0
-22.42898941 9.71562862 -2.45741010 170 0 0
-22.41284370 9.66713524 -2.45969009 170 0 0
-22.42477226 9.60494423 -2.47487712 170 0 0
-22.17285538 9.70559216 -2.50658798 170 0 0
-22.26416016 9.70868015 -2.49378204 170 0 0
-22.43763161 9.80975246 -2.46193004 170 0 0
-22.24174118 9.72373676 -2.49641895 170 0 0
-22.36895370 9.65492916 -2.47333789 170 0 0
-22.28746986 9.76860332 -2.47918510 170 0 0
-22.36618805 9.67872715 -2.47218490 170 0 0
-22.32341766 9.77754116 -2.47264600 170 0 0
-22.38062286 9.64780903 -2.47273397 170 0 0
-22.45552826 9.73857975 -2.45491910 170 0 0
-22.38418961 9.79827499 -2.46527100 170 0 0
-22.30968094 9.79051495 -2.47430301 170 0 0
-22.35280609 9.87191868 -2.47186494 170 0 0
-22.35059166 9.77158642 -2.46980810 170 0 0
-22.26171303 9.81367874 -2.48154712 170 0 0
-22.32359695 9.67240620 -2.48730803 170 0 0
-22.31323433 9.78349876 -2.47488403 170 0 0
-22.23054886 9.80529213 -2.48203301 170 0 0
-22.24633598 9.68811989 -2.50509310 170 0 0
-22.37102127 9.74278069 -2.46625805 170 0 0
-22.21605492 9.83595276 -2.48425388 170 0 0
-22.20809174 9.67141819 -2.50790191 170 0 0
-22.35476303 9.87350082 -2.47286606 170 0 0
-22.39677811 9.58028603 -2.49424005 170 0 0
-22.25996017 9.80603123 -2.47989202 170 0 0
-22.33426857 9.66479778 -2.48619008 170 0 0
-22.19741631 9.69986534 -2.50881791 170 0 0
-22.17661667 9.78135777 -2.49713206 170 0 0
-22.16300392 9.74979877 -2.50441003 170 0 0
-22.38338470 9.60684490 -2.48908091 170 0 0
-22.35010719 9.57262707 -2.51591992 170 0 0
-22.33063507 9.66320896 -2.48753595 170 0 0
-22.34013176 9.64235592 -2.49111891 170 0 0
-22.29905891 9.71126175 -2.48459411 170 0 0
-22.40105057 9.80870819 -2.46698403 170 0 0
-22.38062859 9.76325512 -2.46507001 170 0 0
-22.45557785 9.83780289 -2.46169996 170 0 0
-22.45189095 9.84061337 -2.46253204 170 0 0
-22.44865227 9.83564186 -2.46284699 170 0 0
-22.41471863 9.74333477 -2.46159792 170 0 0
-22.38338280 9.78598785 -2.46469498 170 0 0
-22.31470871 9.66754913 -2.49199605 170 0 0
-22.38251114 9.58665657 -2.49664903 170 0 0
-22.19861031 9.77914715 -2.49225307 170 0 0
-22.39400482 9.67836189 -2.46474195 170 0 0
-22.33380127 9.71399307 -2.47638702 170 0 0
-22.35135841 9.70945740 -2.47230601 170 0 0
-22.20481682 9.79387760 -2.48975205 170 0 0
-22.13447189 9.72549820 -2.50558209 170 0 0
-22.36272049 9.64000797 -2.48301911 170 0 0
-22.20731163 9.72072220 -2.50345111 170 0 0
-22.38637924 9.84831524 -2.46697307 170 0 0
-22.19096565 9.80020428 -2.49068308 170 0 0
-22.37512779 9.65761089 -2.47228599 170 0 0
-22.33610153 9.67788982 -2.47992611 170 0 0
-22.33165550 9.62646484 -2.50065088 170 0 0
-22.37085915 9.66856289 -2.47243404 170 0 0
-22.25187683 9.62889767 -2.51410389 170 0 0
-22.17723465 9.72002697 -2.50555491 170 0 0
-22.22283554 9.77981567 -2.48770094 170 0 0
-22.42474174 9.59236431 -2.47979999 170 0 0
