//X Y Z R G B
-23.01675034 9.41185570 -2.32545996 170 0 0
-23.08435249 9.39465714 -2.30884290 170 0 0
-23.01280975 9.56449890 -2.34814405 170 0 0
-23.06374168 9.46191025 -2.27948809 170 0 0
-23.02765656 9.53500938 -2.33957005 170 0 0
-23.10687637 9.60846996 -2.26934791 170 0 0
-23.07152367 9.37733078 -2.28853798 170 0 0
-23.06894684 9.37620831 -2.35214901 170 0 0
-23.02874565 9.57583809 -2.31631207 170 0 0
-23.15071297 9.44762421 -2.28200793 170 0 0
-23.03509903 9.67667103 -2.32742405 170 0 0
-23.01424026 9.57971191 -2.36767912 170 0 0
-23.02264595 9.52063465 -2.26572800 170 0 0
-22.95541191 9.52906132 -2.29265404 170 0 0
-23.21851730 9.39832687 -2.33702397 170 0 0
-23.02181053 9.36792946 -2.34567189 170 0 0
-23.03320313 9.42409611 -2.35512710 170 0 0
-23.11780548 9.43412495 -2.28800511 170 0 0
-23.12550926 9.68979263 -2.29382610 170 0 0
-23.06323242 9.51181984 -2.30338693 170 0 0
-23.07527351 9.39089298 -2.31896901 170 0 0
-23.03876495 9.62841129 -2.29575706 170 0 0
-23.03522110 9.42509556 -2.33117294 170 0 0
-22.99888229 9.54850960 -2.31807590 170 0 0
-23.09820938 9.47630787 -2.24569011 170 0 0
-23.23088455 9.39170837 -2.32924199 170 0 0
-23.09936333 9.64086914 -2.29389095 170 0 0
-23.18761826 9.46291447 -2.25298595 170 0 0
-23.02247810 9.44501877 -2.27089095 170 0 0
-23.13847542 9.39212322 -2.32125592 170 0 0
-23.08988190 9.37253094 -2.35689092 170 0 0
-23.02838516 9.42222977 -2.34024692 170 0 0
-23.07947731 9.73344326 -2.32528496 170 0 0
-23.21581459 9.37303543 -2.32732010 170 0 0
-23.13731194 9.56816769 -2.26000690 170 0 0
-23.14960480 9.47892666 -2.24921703 170 0 0
-23.02668953 9.64773273 -2.37754297 170 0 0
-23.06309319 9.50445271 -2.27287006 170 0 0
-23.00735474 9.43858337 -2.33721209 170 0 0
-23.10654259 9.64470387 -2.37984300 170 0 0
-22.99519539 9.56632996 -2.34903312 170 0 0
-23.06622887 9.58908463 -2.34911203 170 0 0
-23.12458801 9.46179771 -2.26278591 170 0 0
-23.12280273 9.63583469 -2.31799293 170 0 0
-22.97862434 9.59004974 -2.34398794 170 0 0
-23.15954208 9.41792679 -2.26713610 170 0 0
-23.15118217 9.52335072 -2.25486708 170 0 0
-23.00363922 9.60812855 -2.35856295 170 0 0
-23.13137817 9.47701931 -2.22571111 170 0 0
-23.02025223 9.55699635 -2.37381101 170 0 0
-23.11303711 9.33522797 -2.34899497 170 0 0
-23.00051117 9.62398720 -2.38042593 170 0 0
-23.02042961 9.64504147 -2.38695502 170 0 0
-23.01374054 9.62979126 -2.37385607 170 0 0
-22.96177292 9.53277493 -2.29061198 170 0 0
-23.14391708 9.53287983 -2.23205709 170 0 0
-22.99286461 9.44564629 -2.36960912 170 0 0
-23.03101349 9.67497158 -2.32539701 170 0 0
-23.12803841 9.49112892 -2.25606298 170 0 0
-23.02710533 9.58555508 -2.29819107 170 0 0
-23.09824753 9.47639275 -2.23668003 170 0 0
-23.12211990 9.65626717 -2.34732795 170 0 0
-23.23734283 9.61375237 -2.28601003 170 0 0
-22.99828339 9.66132927 -2.30620503 170 0 0
-23.07144928 9.61648178 -2.25343800 170 0 0
-23.01259041 9.51618099 -2.37669611 170 0 0
-23.04719162 9.69473457 -2.37623906 170 0 0
-23.06660080 9.39990807 -2.30137205 170 0 0
-23.04833794 9.41814899 -2.33226204 170 0 0
-23.04650879 9.65816116 -2.34902596 170 0 0
-23.07809448 9.53106785 -2.29558396 170 0 0
-22.93849182 9.42334747 -2.35924411 170 0 0
-23.04963493 9.45644855 -2.28064609 170 0 0
-23.09018707 9.64981079 -2.31343198 170 0 0
-23.04235268 9.64035511 -2.36987090 170 0 0
-23.11574936 9.36932468 -2.31389809 170 0 0
-23.02922058 9.62388706 -2.37178206 170 0 0
-23.03450012 9.64479733 -2.35462594 170 0 0
-23.22390366 9.60022545 -2.30529594 170 0 0
-23.02894402 9.63637638 -2.27763605 170 0 0
-23.00735092 9.58937931 -2.37242007 170 0 0
-23.02674675 9.42157745 -2.33845496 170 0 0
